model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
tabtransformer,preDisparate posEqqOds,0.656341463,0.756613757,0.276595745,0.52,0.361111111,0.15577171,-0.532467532,-0.705422955,-0.790123457,0.146666667,0.113272807,1
tabtransformer,preLFR posCalibrated,0.480731707,0.746031746,0.103448276,0.12,0.111111111,-0.006595357,0.051948052,0.079183485,0.092592593,2.25,0.165811507,0.924
tabtransformer,preDisparate posROC,0.693292683,0.761904762,0.3,0.6,0.4,0.172531458,-0.551948052,-0.711784837,-0.814814815,0.153846154,0.102501386,1
tabnet,preDisparate posEqqOds,0.691585366,0.788359788,0.325581395,0.56,0.411764706,0.157142782,-0.623376623,-0.663884258,-0.728395062,0.144927536,0.103243374,1
mlp,preLFR posROC,0.5,0.867724868,0,0,,-2.19E-05,0,0,0,,0.141880587,0
tabtransformer,preLFR posEqqOds,0.5,0.867724868,0,0,,6.91E-05,0,0,0,,0.141880587,0
xgb,preLFR posEqqOds,0.548414634,0.275132275,0.14556962,0.92,0.25136612,0.008387685,-0.142857143,-0.134773166,-0.148148148,0.846153846,0.048405838,0.797
xgb,preLFR posCalibrated,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
metafair,preLFR posCalibrated,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
adversarial,preReweighing inAD posEqqOds,0.645487805,0.767195767,0.279069767,0.48,0.352941176,0.156736707,-0.603896104,-0.716643998,-0.771604938,0.131944444,0.116637522,1
adversarial,preReweighing inAD,0.599390244,0.746031746,0.23255814,0.4,0.294117647,0.014201637,0.064935065,0.109325641,0.049382716,1.266666667,0.130031671,0.586
adversarial,inAD posCalibrated,0.647195122,0.740740741,0.26,0.52,0.346666667,0.142248518,-0.37012987,-0.579490611,-0.685185185,0.195652174,0.115457408,1
lr,preLFR posROC,0.600731707,0.777777778,0.257142857,0.36,0.3,0.106684184,-0.168831169,-0.065834503,-0.086419753,0.666666667,0.129566077,0.702
adversarial,preLFR inAD posEqqOds,0.5,0.867724868,0,0,,-3.20E-06,0,0,0,,0.141880587,0
adversarial,preReweighing inAD posCalibrated,0.656341463,0.756613757,0.276595745,0.52,0.361111111,0.10891154,-0.37012987,-0.589625746,-0.703703704,0.173913043,0.113272807,1
adversarial,inAD posROC,0.5,0.867724868,0,0,,-0.00517289,0,0,0,,0.141880587,0
adversarial,preLFR inAD,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
xgb,preLFR posROC,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
adversarial,preDisparate inAD posCalibrated,0.725487805,0.788359788,0.340425532,0.64,0.444444444,0.160501699,-0.642857143,-0.770752896,-0.87654321,0.12345679,0.093562461,1
metafair,preLFR,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
adversarial,preDisparate inAD,0.711585366,0.793650794,0.340909091,0.6,0.434782609,0.141777339,-0.551948052,-0.66279835,-0.765432099,0.138888889,0.097490361,1
adversarial,preDisparate inAD posROC,0.680731707,0.798941799,0.333333333,0.52,0.40625,0.139716842,-0.37012987,-0.512767638,-0.62345679,0.158333333,0.106095979,1
metafair,preLFR posEqqOds,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
adversarial,preLFR inAD posCalibrated,0.466463415,0.80952381,0,0,,-0.085844842,0,0.037162162,0.067901235,inf,0.164099544,1
adversarial,preReweighing inAD posROC,0.516097561,0.513227513,0.139784946,0.52,0.220338983,-0.006499643,0.116883117,0.224826694,0.228395062,1.770833333,0.124202249,1
adversarial,inAD posEqqOds,0.665487805,0.772486772,0.295454545,0.52,0.376811594,0.129754207,-0.37012987,-0.599760881,-0.722222222,0.152173913,0.110820114,1
metafair,preLFR posROC,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
adversarial,preDisparate inAD posEqqOds,0.515,0.687830688,0.145833333,0.28,0.191780822,-0.041557603,0.337662338,0.307344682,0.25308642,7.833333333,0.153264839,1
adversarial,preLFR inAD posROC,0.5,0.867724868,0,0,,-6.67E-19,0,0,0,,0.141880587,0
